date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:55	104782/104782	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202019%2022:00:51%20GMT	http://www.tunav.com/bundles/frontend/assets/plugins/scrollbar/mCSB_buttons.png	C:/My%20Web%20Sites/nav/www.tunav.com/bundles/frontend/assets/plugins/scrollbar/mCSB_buttons.png	(from http://www.tunav.com/css/26984de_jquery.mCustomScrollbar_4.css)
23:00:56	32536/32536	---M--	200	added ('OK')	application/x-font-ttf	date:Tue,%2007%20Feb%202017%2010:27:54%20GMT	http://www.tunav.com/bundles/frontend/assets/plugins/et-line/fonts/et-line.ttf	C:/My%20Web%20Sites/nav/www.tunav.com/bundles/frontend/assets/plugins/et-line/fonts/et-line.ttf	(from http://www.tunav.com/css/26984de_et-line_3.css)
23:00:56	8897/8897	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Feb%202017%2010:27:54%20GMT	http://www.tunav.com/bundles/frontend/assets/plugins/cubeportfolio/img/cbp-sprite.png	C:/My%20Web%20Sites/nav/www.tunav.com/bundles/frontend/assets/plugins/cubeportfolio/img/cbp-sprite.png	(from http://www.tunav.com/css/26984de_cubeportfolio.min_8.css)
23:00:57	55220/55220	---M--	200	added ('OK')	application/x-font-woff	date:Tue,%2007%20Feb%202017%2010:27:54%20GMT	http://www.tunav.com/bundles/frontend/assets/plugins/et-line/fonts/et-line.woff	C:/My%20Web%20Sites/nav/www.tunav.com/bundles/frontend/assets/plugins/et-line/fonts/et-line.woff	(from http://www.tunav.com/css/26984de_et-line_3.css)
23:00:58	104810/104810	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202019%2022:00:54%20GMT	http://www.tunav.com/bundles/frontend/assets/plugins/owl-carousel/assets/owl.video.play.png	C:/My%20Web%20Sites/nav/www.tunav.com/bundles/frontend/assets/plugins/owl-carousel/assets/owl.video.play.5d.delayed	(from http://www.tunav.com/css/26984de_owl.carousel_9.css)
23:00:59	104634/104634	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202019%2022:00:56%20GMT	http://www.tunav.com/bundles/frontend/assets/img/1920x1080/10.jpg	C:/My%20Web%20Sites/nav/www.tunav.com/bundles/frontend/assets/img/1920x1080/10.jpg	(from http://www.tunav.com/css/26984de_global_11.css)
23:00:59	142072/142072	---M--	200	added ('OK')	application/x-font-ttf	date:Tue,%2007%20Feb%202017%2010:27:54%20GMT	http://www.tunav.com/bundles/frontend/assets/plugins/font-awesome/fonts/fontawesome-webfont.ttf?v=4.5.0	C:/My%20Web%20Sites/nav/www.tunav.com/bundles/frontend/assets/plugins/font-awesome/fonts/fontawesome-webfont3295.ttf	(from http://www.tunav.com/css/26984de_font-awesome.min_2.css)
23:01:01	104634/104634	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202019%2022:00:57%20GMT	http://www.tunav.com/bundles/frontend/assets/img/1920x1080/07.jpg	C:/My%20Web%20Sites/nav/www.tunav.com/bundles/frontend/assets/img/1920x1080/07.jpg	(from http://www.tunav.com/css/26984de_global_11.css)
23:01:01	33460/33460	---M--	200	added ('OK')	font/opentype	date:Sun,%2009%20Dec%202007%2018:20:32%20GMT	http://www.tunav.com/bundles/frontend/assets/css/Diavlo_BOLD_II_37.otf	C:/My%20Web%20Sites/nav/www.tunav.com/bundles/frontend/assets/css/Diavlo_BOLD_II_37.otf	(from http://www.tunav.com/css/26984de_global_11.css)
23:01:01	104634/104634	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202019%2022:00:59%20GMT	http://www.tunav.com/bundles/frontend/assets/img/1920x1080/48.jpg	C:/My%20Web%20Sites/nav/www.tunav.com/bundles/frontend/assets/img/1920x1080/48.jpg	(from http://www.tunav.com/css/26984de_global_11.css)
23:01:02	104634/104634	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202019%2022:00:59%20GMT	http://www.tunav.com/bundles/frontend/assets/img/1920x1080/31.jpg	C:/My%20Web%20Sites/nav/www.tunav.com/bundles/frontend/assets/img/1920x1080/31.jpg	(from http://www.tunav.com/css/26984de_global_11.css)
23:01:04	104634/104634	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202019%2022:01:00%20GMT	http://www.tunav.com/bundles/frontend/assets/img/1920x1080/17.jpg	C:/My%20Web%20Sites/nav/www.tunav.com/bundles/frontend/assets/img/1920x1080/17.jpg	(from http://www.tunav.com/css/26984de_global_11.css)
23:01:21	97210/97210	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Mar%202017%2008:58:42%20GMT	http://www.tunav.com/bundles/frontend/assets/img/genie-bg.jpg	C:/My%20Web%20Sites/nav/www.tunav.com/bundles/frontend/assets/img/genie-bg.jpg	(from http://www.tunav.com/css/26984de_global_11.css)
